city,lat,lng
Moscow,55.7558,37.6178
Saint Petersburg,59.9500,30.3167
Novosibirsk,55.0333,82.9167
Yekaterinburg,56.8356,60.6128
Nizhniy Novgorod,56.3269,44.0075
Kazan,55.7908,49.1144
Chelyabinsk,55.1500,61.4000
Omsk,54.9667,73.3833
Samara,53.1833,50.1167
Rostov,47.2333,39.7167
Ufa,54.7333,55.9667
Krasnoyarsk,56.0167,92.8667
Perm,58.0139,56.2489
Voronezh,51.6717,39.2106
Volgograd,48.7086,44.5147
Krasnodar,45.0333,38.9833
Saratov,51.5333,46.0000
Tyumen,57.1500,65.5333
Tolyatti,53.5167,49.4167
Izhevsk,56.8500,53.2167
Barnaul,53.3567,83.7872
Ulyanovsk,54.3167,48.3667
Irkutsk,52.2833,104.3000
Khabarovsk,48.4833,135.0667
Yaroslavl,57.6167,39.8500
Vladivostok,43.1167,131.9000
Makhachkala,42.9833,47.4833
Tomsk,56.4886,84.9522
Orenburg,51.7667,55.1000
Kemerovo,55.3333,86.0667
Novokuznetsk,53.7500,87.1167
Ryazan,54.6167,39.7167
Astrakhan,46.3333,48.0167
Naberezhnyye Chelny,55.7000,52.3333
Penza,53.2000,45.0000
Lipetsk,52.6167,39.6000
Kirov,58.6000,49.6500
Cheboksary,56.1333,47.2500
Tula,54.2000,37.6167
Kaliningrad,54.7167,20.5000
Balashikha,55.8000,37.9500
Kursk,51.7372,36.1872
Stavropol,45.0500,41.9833
Ulan-Ude,51.8272,107.6064
Tver,56.8578,35.9219
Magnitogorsk,53.3833,59.0333
Sochi,43.5853,39.7203
Ivanovo,57.0000,41.0000
Bryansk,53.2500,34.3667
Belgorod,50.6000,36.6000
Surgut,61.2500,73.4333
Vladimir,56.1286,40.4058
Nizhniy Tagil,57.9167,59.9667
Arkhangelsk,64.5500,40.5333
Chita,52.0333,113.5000
Kaluga,54.5333,36.2667
Smolensk,54.7828,32.0453
Volzhskiy,48.7833,44.7667
Kurgan,55.4408,65.3411
Cherepovets,59.1333,37.9167
Saransk,54.1833,45.1833
Vologda,59.2167,39.9000
Orël,52.9686,36.0694
Yakutsk,62.0272,129.7319
Vladikavkaz,43.0400,44.6775
Podolsk,55.4297,37.5444
Murmansk,68.9667,33.0833
Groznyy,43.3125,45.6986
Tambov,52.7167,41.4333
Sterlitamak,53.6333,55.9500
Petrozavodsk,61.7833,34.3500
Nizhnevartovsk,60.9389,76.5950
Kostroma,57.7667,40.9333
Novorossiysk,44.7167,37.7667
Yoshkar-Ola,56.6328,47.8958
Nalchik,43.4833,43.6167
Engels,51.4667,46.1167
Taganrog,47.2333,38.9000
Komsomol’sk-na-Amure,50.5500,137.0000
Syktyvkar,61.6667,50.8167
Khimki,55.8892,37.4450
Nizhnekamsk,55.6333,51.8167
Shakhty,47.7000,40.2333
Dzerzhinsk,56.2333,43.4500
Bratsk,56.1667,101.6167
Orsk,51.2000,58.6167
Noginsk,64.4833,91.2333
Angarsk,52.5667,103.9167
Kolpino,59.7300,30.6500
Blagoveshchensk,50.2578,127.5364
Staryy Oskol,51.2981,37.8350
Velikiy Novgorod,58.5210,31.2758
Korolëv,55.9167,37.8167
Pskov,57.8167,28.3333
Mytishchi,55.9167,37.7333
Biysk,52.5167,85.1667
Lyubertsy,55.6814,37.8939
Prokopyevsk,53.8833,86.7167
Yuzhno-Sakhalinsk,46.9500,142.7333
Balakovo,52.0390,47.7839
Armavir,45.0000,41.1167
Rybinsk,58.0500,38.8333
Severodvinsk,64.5667,39.8500
Abakan,53.7167,91.4167
Petropavlovsk-Kamchatskiy,53.0167,158.6500
Norilsk,69.3333,88.2167
Syzran,53.1667,48.4667
Krasnogorsk,55.8167,37.3333
Volgodonsk,47.5167,42.1500
Ussuriysk,43.8000,131.9500
Kamensk-Ural’skiy,56.4000,61.9333
Novocherkassk,47.4222,40.0939
Zlatoust,55.1667,59.6667
Elektrostal,55.8000,38.4500
Almetyevsk,54.9000,52.3000
Salavat,53.3667,55.9333
Miass,55.0500,60.1000
Nakhodka,42.8167,132.8833
Orekhovo-Borisovo Yuzhnoye,55.6029,37.7328
Kopeysk,55.1000,61.6167
Odintsovo,55.6733,37.2733
Pyatigorsk,44.0333,43.0500
Rubtsovsk,51.5167,81.2000
Berezniki,59.4167,56.7833
Kolomna,55.0833,38.7833
Maykop,44.6000,40.0833
Khasavyurt,43.2500,46.5833
Kovrov,56.3606,41.3197
Kislovodsk,43.9100,42.7200
Domodedovo,55.4333,37.7500
Nefteyugansk,61.1000,72.6000
Neftekamsk,56.0833,54.2500
Bataysk,47.1333,39.7500
Novocheboksarsk,56.1167,47.5000
Serpukhov,54.9167,37.4000
Novomoskovsk,54.0333,38.2667
Shchelkovo,55.9167,38.0000
Pervouralsk,56.9167,59.9500
Kaspiysk,42.8833,47.6333
Derbent,42.0692,48.2958
Cherkessk,44.2222,42.0575
Orekhovo-Zuyevo,55.8000,38.9667
Nazran,43.2167,44.7667
Nevinnomyssk,44.6333,41.9333
Ramenskoye,55.5669,38.2303
Dimitrovgrad,54.2333,49.5833
Kyzyl,51.7167,94.4500
Obninsk,55.1000,36.6167
Oktyabr’skiy,54.4833,53.4833
Novyy Urengoy,66.0847,76.6789
Kamyshin,50.0833,45.4000
Murom,55.5725,42.0514
Dolgoprudnyy,55.9333,37.5000
Yessentuki,44.0431,42.8644
Novoshakhtinsk,47.7667,39.9167
Zhukovskiy,55.6011,38.1161
Seversk,56.6000,84.8500
Reutov,55.7667,37.8667
Noyabrsk,63.2017,75.4517
Artëm,43.3500,132.1833
Pushkino,56.0167,37.8500
Achinsk,56.2817,90.5039
Sergiyev Posad,56.3000,38.1333
Arzamas,55.3833,43.8000
Yelets,52.6167,38.4667
Berdsk,54.7500,83.1000
Elista,46.3167,44.2667
Noginsk,55.8500,38.4333
Novokuybyshevsk,53.1000,49.9167
Zheleznogorsk,52.3333,35.3667
Zelënodol’sk,55.8500,48.5167
Tobolsk,58.1953,68.2581
Khanty-Mansiysk,61.0000,69.0000
Sarapul,56.4667,53.8000
Serov,59.6000,60.5667
Votkinsk,57.0500,54.0000
Ukhta,63.5667,53.7000
Mezhdurechensk,53.6864,88.0703
Leninsk-Kuznetskiy,54.6500,86.1667
Sarov,54.9333,43.3167
Solikamsk,59.6333,56.7667
Gatchina,59.5667,30.1333
Mikhaylovsk,45.1283,42.0256
Voskresensk,55.3167,38.6833
Michurinsk,52.8922,40.4928
Glazov,58.1333,52.6500
Magadan,59.5667,150.8000
